fold,target_date,top_k,overlap_count,top_k_accuracy,mean_top10_rank_error,median_top10_rank_error,top10_volume_capture,overall_rank_correlation,actual_cutoff_tie
2,2024-12-20,10,8,0.8,3.7,2.0,0.9444444444444444,0.9352179396474822,True
2,2024-12-21,10,7,0.7,1.5,1.0,0.9622166246851386,0.9254360330985265,True
2,2024-12-22,10,9,0.9,2.1,1.0,0.967551622418879,0.9019348488110984,False
2,2024-12-23,10,8,0.8,1.9,1.5,0.9703703703703703,0.9178073764188378,False
2,2024-12-24,10,8,0.8,3.1,2.5,0.9630681818181818,0.8973207419483835,False
2,2024-12-25,10,10,1.0,1.4,1.0,1.0,0.86225352979175,False
2,2024-12-26,10,9,0.9,1.8,1.5,0.9787798408488063,0.9457996247193085,False
2,2024-12-27,10,9,0.9,1.9,2.0,0.976063829787234,0.9298040542618967,False
2,2024-12-28,10,8,0.8,1.7,0.0,0.9885057471264368,0.9189762834907257,False
2,2024-12-29,10,9,0.9,1.6,1.5,0.9723756906077348,0.87892583592236,False
2,2024-12-30,10,9,0.9,2.0,2.0,0.9501466275659824,0.9399550893598696,False
2,2024-12-31,10,7,0.7,2.9,1.5,0.973753280839895,0.9198991048632686,False
2,2025-01-01,10,9,0.9,1.8,2.0,0.9898477157360406,0.9051339629025809,False
2,2025-01-02,10,9,0.9,1.4,1.0,0.9852941176470589,0.9160847765234242,False
2,2025-01-03,10,9,0.9,2.7,1.0,1.0,0.921560183333846,True
2,2025-01-04,10,9,0.9,2.0,2.0,0.9845360824742269,0.9467839675166877,False
2,2025-01-05,10,8,0.8,2.0,2.0,0.9552631578947368,0.9059952628502876,False
2,2025-01-06,10,10,1.0,1.2,1.0,1.0,0.9485065674121013,False
2,2025-01-07,10,9,0.9,0.9,1.0,0.9955947136563876,0.9018733273862622,True
2,2025-01-08,10,9,0.9,1.3,0.5,0.972636815920398,0.8978129133470731,False
2,2025-01-09,10,9,0.9,1.7,1.0,0.9766454352441614,0.9188532406410532,False
2,2025-01-10,10,8,0.8,2.1,2.0,0.9569377990430622,0.9406318250330677,False
2,2025-01-11,10,9,0.9,1.8,2.0,0.9635854341736695,0.9267895044449229,False
2,2025-01-12,10,8,0.8,2.2,2.0,0.9476744186046512,0.9137469623796487,False
2,2025-01-13,10,7,0.7,2.4,1.0,0.9691629955947136,0.947214617490541,True
2,2025-01-14,10,8,0.8,1.5,1.0,0.9747126436781609,0.9433387677258606,False
2,2025-01-15,10,9,0.9,1.4,1.0,0.9793577981651376,0.8792949644713771,True
2,2025-01-16,10,7,0.7,2.9,2.0,0.9541284403669725,0.923098218954751,True
2,2025-01-17,10,9,0.9,0.9,1.0,0.9765258215962441,0.9358946753206804,False
2,2025-01-18,10,8,0.8,2.6,3.0,0.9728260869565217,0.9083330769940632,False
2,2025-01-19,10,10,1.0,1.4,1.5,1.0,0.9341720754252668,False
2,2025-01-20,10,9,0.9,1.6,1.5,1.0,0.9066104770986496,True
2,2025-01-21,10,9,0.9,1.6,1.0,0.9975728155339806,0.9106708911378387,True
2,2025-01-22,10,9,0.9,0.9,1.0,0.9795918367346939,0.9329416469285429,False
2,2025-01-23,10,9,0.9,2.3,2.5,0.9708333333333333,0.8941216278569012,False
2,2025-01-24,10,9,0.9,1.9,1.5,0.9610983981693364,0.9363253252945338,False
2,2025-01-25,10,8,0.8,1.4,1.0,0.9814323607427056,0.9272816758436125,False
2,2025-01-26,10,8,0.8,1.5,1.0,0.9623655913978495,0.935771632471008,False
2,2025-01-27,10,9,0.9,1.0,1.0,0.9932126696832579,0.9296194899873881,False
2,2025-01-28,10,9,0.9,1.4,1.0,0.9839080459770115,0.9181765049678551,False
2,2025-01-29,10,9,0.9,1.0,0.5,0.99,0.9434618105755329,False
2,2025-01-30,10,8,0.8,1.4,1.0,0.9587155963302753,0.894060106432065,False
2,2025-01-31,10,8,0.8,2.2,1.0,0.9861111111111112,0.923098218954751,False
2,2025-02-01,10,9,0.9,1.8,2.0,0.9856733524355301,0.923098218954751,False
2,2025-02-02,10,9,0.9,1.4,1.0,0.997093023255814,0.9191608477652342,False
2,2025-02-03,10,9,0.9,1.6,1.0,0.9975308641975309,0.9386631394383094,False
2,2025-02-04,10,9,0.9,1.1,1.0,0.9927710843373494,0.9357101110461719,True
2,2025-02-05,10,9,0.9,1.9,1.5,0.9925925925925926,0.938540096588637,True
2,2025-02-06,10,8,0.8,2.7,1.0,0.9753694581280788,0.9131317481312867,False
2,2025-02-07,10,9,0.9,1.2,1.0,0.9781659388646288,0.9579193454120397,False
2,2025-02-08,10,8,0.8,1.9,1.0,0.9491094147582697,0.9254360330985265,False
2,2025-02-09,10,9,0.9,4.1,1.0,0.9703947368421053,0.9222984404318804,False
2,2025-02-10,10,8,0.8,3.3,2.0,0.9760191846522782,0.908579162693408,False
2,2025-02-11,10,9,0.9,1.1,1.0,0.9769820971867008,0.8662524224061029,False
2,2025-02-12,10,7,0.7,2.7,2.0,0.9380281690140845,0.9168230336214587,True
2,2025-02-13,10,9,0.9,2.3,2.5,0.9769230769230769,0.9340490325755945,True
3,2025-02-14,10,7,0.7,2.4,2.0,0.9521410579345088,0.9130702267064505,False
3,2025-02-15,10,8,0.8,2.2,2.5,0.9476584022038568,0.9147928266018641,False
3,2025-02-16,10,10,1.0,2.4,2.0,1.0,0.9204527976867944,True
3,2025-02-17,10,9,0.9,1.8,1.0,0.9768637532133676,0.9166999907717863,False
3,2025-02-18,10,9,0.9,1.9,1.0,0.9818652849740933,0.9283890614906641,True
3,2025-02-19,10,8,0.8,2.0,1.0,0.9595238095238096,0.926174290196561,False
3,2025-02-20,10,8,0.8,1.5,0.5,0.9575371549893843,0.9145467409025193,False
3,2025-02-21,10,10,1.0,0.8,1.0,1.0,0.9442615890984035,False
3,2025-02-22,10,9,0.9,1.6,1.5,0.9875621890547264,0.903657448706512,False
3,2025-02-23,10,8,0.8,1.8,2.0,0.9742857142857143,0.9103017625888216,False
3,2025-02-24,10,10,1.0,0.8,1.0,1.0,0.9499215601833338,True
3,2025-02-25,10,9,0.9,1.1,1.0,0.9815242494226328,0.91971454058876,False
3,2025-02-26,10,9,0.9,1.1,1.0,0.9954853273137697,0.9570580454643329,True
3,2025-02-27,10,8,0.8,1.5,1.0,0.9474940334128878,0.9554584884185918,False
3,2025-02-28,10,9,0.9,1.6,1.5,0.9820627802690582,0.9152234765757175,False
3,2025-03-01,10,9,0.9,2.4,2.5,0.9800498753117207,0.924943861699837,True
3,2025-03-02,10,9,0.9,0.7,0.0,0.9836512261580381,0.9339875111507583,False
3,2025-03-03,10,9,0.9,1.8,1.0,0.9805352798053528,0.9244516903011474,False
3,2025-03-04,10,8,0.8,3.0,2.5,0.9667458432304038,0.937002060967732,True
3,2025-03-05,10,8,0.8,1.5,1.0,0.9744186046511628,0.9227290904057338,False
3,2025-03-06,10,8,0.8,3.1,1.0,0.9892761394101877,0.9266664615952506,True
3,2025-03-07,10,8,0.8,1.9,1.0,0.9521739130434783,0.949675474483989,True
3,2025-03-08,10,9,0.9,2.4,1.5,0.9948586118251928,0.9184841120920361,False
3,2025-03-09,10,8,0.8,1.4,1.0,0.9684813753581661,0.9476452674643945,True
3,2025-03-10,10,8,0.8,2.5,2.0,0.9726027397260274,0.9022424559352794,True
3,2025-03-11,10,7,0.7,3.1,1.0,0.9624060150375939,0.9222984404318804,False
3,2025-03-12,10,9,0.9,2.2,1.0,0.9593679458239278,0.9584115168107293,False
3,2025-03-13,10,9,0.9,1.6,1.5,0.9636363636363636,0.947214617490541,False
3,2025-03-14,10,9,0.9,0.9,1.0,0.9878296146044625,0.9301116613860777,False
3,2025-03-15,10,8,0.8,2.4,3.0,0.9722222222222222,0.9268510258697591,False
3,2025-03-16,10,10,1.0,2.0,1.0,1.0,0.9232212618044234,False
3,2025-03-17,10,9,0.9,0.8,0.0,0.9636803874092009,0.9265434187455781,False
3,2025-03-18,10,9,0.9,1.6,1.0,0.9905437352245863,0.9127626195822696,False
3,2025-03-19,10,8,0.8,1.6,1.0,0.9832535885167464,0.9195914977390877,False
3,2025-03-20,10,8,0.8,1.2,0.5,0.9949748743718593,0.9300501399612415,True
3,2025-03-21,10,8,0.8,1.7,1.0,0.9820224719101124,0.9319573041311637,True
3,2025-03-22,10,9,0.9,1.6,1.5,0.9918918918918919,0.940078132209542,False
3,2025-03-23,10,9,0.9,3.2,1.5,0.9761904761904762,0.911347626811037,False
3,2025-03-24,10,9,0.9,1.7,1.0,0.9955056179775281,0.8991048632686333,False
3,2025-03-25,10,10,1.0,1.2,1.0,1.0,0.9352794610723184,False
3,2025-03-26,10,9,0.9,1.1,1.0,0.9761388286334056,0.9320188255559999,False
3,2025-03-27,10,9,0.9,1.3,1.0,0.9925,0.8937524993078839,True
3,2025-03-28,10,9,0.9,2.1,1.5,0.9846491228070176,0.9588421667845828,False
3,2025-03-29,10,7,0.7,2.4,1.5,0.9346246973365617,0.9259897259220523,False
3,2025-03-30,10,7,0.7,3.3,2.0,0.9740634005763689,0.9139930480789935,True
